t_s,U1_mV,U2_mV,U3_mV
0.592308,-215693.323,318695.643,-103002.319
0.592436,-225321.840,315817.390,-90495.549
0.592564,-234584.885,312426.880,-77841.995
0.592692,-243467.432,308529.613,-65062.181
0.592821,-251955.074,304131.910,-52176.836
0.592949,-260034.044,299240.903,-39206.860
0.593077,-267691.237,293864.527,-26173.290
0.593205,-274914.235,288011.502,-13097.267
0.593333,-281691.320,281691.320,-0.000
0.593462,-288011.502,274914.235,13097.267
0.593590,-293864.527,267691.237,26173.290
0.593718,-299240.903,260034.044,39206.860
0.593846,-304131.910,251955.074,52176.836
0.593974,-308529.613,243467.432,65062.181
0.594103,-312426.880,234584.885,77841.995
0.594231,-315817.390,225321.840,90495.549
0.594359,-318695.643,215693.323,103002.319
0.594487,-321056.970,205714.950,115342.019
0.594615,-322897.541,195402.907,127494.634
0.594744,-324214.372,184773.920,139440.452
0.594872,-325005.325,173845.229,151160.097
0.595000,-325269.119,162634.560,162634.560
0.595128,-325005.325,151160.097,173845.229
0.595256,-324214.372,139440.452,184773.920
0.595385,-322897.541,127494.634,195402.907
0.595513,-321056.970,115342.019,205714.950
0.595641,-318695.643,103002.319,215693.323
0.595769,-315817.390,90495.549,225321.840
0.595897,-312426.880,77841.995,234584.885
0.596026,-308529.613,65062.181,243467.432
0.596154,-304131.910,52176.836,251955.074
0.596282,-299240.903,39206.860,260034.044
0.596410,-293864.527,26173.290,267691.237
0.596538,-288011.502,13097.267,274914.235
0.596667,-281691.320,0.000,281691.320
0.596795,-274914.235,-13097.267,288011.502
0.596923,-267691.237,-26173.290,293864.527
0.597051,-260034.044,-39206.860,299240.903
0.597179,-251955.074,-52176.836,304131.910
0.597308,-243467.432,-65062.181,308529.613
0.597436,-234584.885,-77841.995,312426.880
0.597564,-225321.840,-90495.549,315817.390
0.597692,-215693.323,-103002.319,318695.643
0.597821,-205714.950,-115342.019,321056.970
0.597949,-195402.907,-127494.634,322897.541
0.598077,-184773.920,-139440.452,324214.372
0.598205,-173845.229,-151160.097,325005.325
0.598333,-162634.560,-162634.560,325269.119
0.598462,-151160.097,-173845.229,325005.325
0.598590,-139440.452,-184773.920,324214.372
0.598718,-127494.634,-195402.907,322897.541
0.598846,-115342.019,-205714.950,321056.970
0.598974,-103002.319,-215693.323,318695.643
0.599103,-90495.549,-225321.840,315817.390
0.599231,-77841.995,-234584.885,312426.880
0.599359,-65062.181,-243467.432,308529.613
0.599487,-52176.836,-251955.074,304131.910
0.599615,-39206.860,-260034.044,299240.903
0.599744,-26173.290,-267691.237,293864.527
0.599872,-13097.267,-274914.235,288011.502
0.600000,-0.000,-281691.320,281691.320
0.600128,13097.267,-288011.502,274914.235
0.600256,26173.290,-293864.527,267691.237
0.600385,39206.860,-299240.903,260034.044
0.600513,52176.836,-304131.910,251955.074
0.600641,65062.181,-308529.613,243467.432
0.600769,77841.995,-312426.880,234584.885
0.600897,90495.549,-315817.390,225321.840
0.601026,103002.319,-318695.643,215693.323
0.601154,115342.019,-321056.970,205714.950
0.601282,127494.634,-322897.541,195402.907
0.601410,139440.452,-324214.372,184773.920
0.601538,151160.097,-325005.325,173845.229
0.601667,162634.560,-325269.119,162634.560
0.601795,173845.229,-325005.325,151160.097
0.601923,184773.920,-324214.372,139440.452
0.602051,195402.907,-322897.541,127494.634
0.602179,205714.950,-321056.970,115342.019
0.602308,215693.323,-318695.643,103002.319
0.602436,225321.840,-315817.390,90495.549
0.602564,234584.885,-312426.880,77841.995
0.602692,243467.432,-308529.613,65062.181
0.602821,251955.074,-304131.910,52176.836
0.602949,260034.044,-299240.903,39206.860
0.603077,267691.237,-293864.527,26173.290
0.603205,274914.235,-288011.502,13097.267
0.603333,281691.320,-281691.320,0.000
0.603462,288011.502,-274914.235,-13097.267
0.603590,293864.527,-267691.237,-26173.290
0.603718,299240.903,-260034.044,-39206.860
0.603846,304131.910,-251955.074,-52176.836
0.603974,308529.613,-243467.432,-65062.181
0.604103,312426.880,-234584.885,-77841.995
0.604231,315817.390,-225321.840,-90495.549
0.604359,318695.643,-215693.323,-103002.319
0.604487,321056.970,-205714.950,-115342.019
0.604615,322897.541,-195402.907,-127494.634
0.604744,324214.372,-184773.920,-139440.452
0.604872,325005.325,-173845.229,-151160.097
0.605000,325269.119,-162634.560,-162634.560
0.605128,325005.325,-151160.097,-173845.229
0.605256,324214.372,-139440.452,-184773.920
0.605385,322897.541,-127494.634,-195402.907
0.605513,321056.970,-115342.019,-205714.950
0.605641,318695.643,-103002.319,-215693.323
0.605769,315817.390,-90495.549,-225321.840
0.605897,312426.880,-77841.995,-234584.885
0.606026,308529.613,-65062.181,-243467.432
0.606154,304131.910,-52176.836,-251955.074
0.606282,299240.903,-39206.860,-260034.044
0.606410,293864.527,-26173.290,-267691.237
0.606538,288011.502,-13097.267,-274914.235
0.606667,281691.320,-0.000,-281691.320
0.606795,274914.235,13097.267,-288011.502
0.606923,267691.237,26173.290,-293864.527
0.607051,260034.044,39206.860,-299240.903
0.607179,251955.074,52176.836,-304131.910
0.607308,243467.432,65062.181,-308529.613
0.607436,234584.885,77841.995,-312426.880
0.607564,225321.840,90495.549,-315817.390
0.607692,215693.323,103002.319,-318695.643
0.607821,205714.950,115342.019,-321056.970
0.607949,195402.907,127494.634,-322897.541
0.608077,184773.920,139440.452,-324214.372
0.608205,173845.229,151160.097,-325005.325
0.608333,162634.560,162634.560,-325269.119
0.608462,151160.097,173845.229,-325005.325
0.608590,139440.452,184773.920,-324214.372
0.608718,127494.634,195402.907,-322897.541
0.608846,115342.019,205714.950,-321056.970
0.608974,103002.319,215693.323,-318695.643
0.609103,90495.549,225321.840,-315817.390
0.609231,77841.995,234584.885,-312426.880
0.609359,65062.181,243467.432,-308529.613
0.609487,52176.836,251955.074,-304131.910
0.609615,39206.860,260034.044,-299240.903
0.609744,26173.290,267691.237,-293864.527
0.609872,13097.267,274914.235,-288011.502
0.610000,0.000,281691.320,-281691.320
0.610128,-13097.267,288011.502,-274914.235
0.610256,-26173.290,293864.527,-267691.237
0.610385,-39206.860,299240.903,-260034.044
0.610513,-52176.836,304131.910,-251955.074
0.610641,-65062.181,308529.613,-243467.432
0.610769,-77841.995,312426.880,-234584.885
0.610897,-90495.549,315817.390,-225321.840
0.611026,-103002.319,318695.643,-215693.323
0.611154,-115342.019,321056.970,-205714.950
0.611282,-127494.634,322897.541,-195402.907
0.611410,-139440.452,324214.372,-184773.920
0.611538,-151160.097,325005.325,-173845.229
0.611667,-162634.560,325269.119,-162634.560
0.611795,-173845.229,325005.325,-151160.097
0.611923,-184773.920,324214.372,-139440.452
0.612051,-195402.907,322897.541,-127494.634
0.612179,-205714.950,321056.970,-115342.019
0.612308,-215693.323,318695.643,-103002.319
0.612436,-225321.840,315817.390,-90495.549
0.612564,-234584.885,312426.880,-77841.995
0.612692,-243467.432,308529.613,-65062.181
0.612821,-251955.074,304131.910,-52176.836
0.612949,-260034.044,299240.903,-39206.860
0.613077,-267691.237,293864.527,-26173.290
0.613205,-274914.235,288011.502,-13097.267
0.613333,-281691.320,281691.320,-0.000
0.613462,-288011.502,274914.235,13097.267
0.613590,-293864.527,267691.237,26173.290
0.613718,-299240.903,260034.044,39206.860
0.613846,-304131.910,251955.074,52176.836
0.613974,-308529.613,243467.432,65062.181
0.614103,-312426.880,234584.885,77841.995
0.614231,-315817.390,225321.840,90495.549
0.614359,-318695.643,215693.323,103002.319
0.614487,-321056.970,205714.950,115342.019
0.614615,-322897.541,195402.907,127494.634
0.614744,-324214.372,184773.920,139440.452
0.614872,-325005.325,173845.229,151160.097
0.615000,-325269.119,162634.560,162634.560
0.615128,-325005.325,151160.097,173845.229
0.615256,-324214.372,139440.452,184773.920
0.615385,-322897.541,127494.634,195402.907
0.615513,-321056.970,115342.019,205714.950
0.615641,-318695.643,103002.319,215693.323
0.615769,-315817.390,90495.549,225321.840
0.615897,-312426.880,77841.995,234584.885
0.616026,-308529.613,65062.181,243467.432
0.616154,-304131.910,52176.836,251955.074
0.616282,-299240.903,39206.860,260034.044
0.616410,-293864.527,26173.290,267691.237
0.616538,-288011.502,13097.267,274914.235
0.616667,-281691.320,0.000,281691.320
0.616795,-274914.235,-13097.267,288011.502
0.616923,-267691.237,-26173.290,293864.527
0.617051,-260034.044,-39206.860,299240.903
0.617179,-251955.074,-52176.836,304131.910
0.617308,-243467.432,-65062.181,308529.613
0.617436,-234584.885,-77841.995,312426.880
0.617564,-225321.840,-90495.549,315817.390
0.617692,-215693.323,-103002.319,318695.643
0.617821,-205714.950,-115342.019,321056.970
0.617949,-195402.907,-127494.634,322897.541
0.618077,-184773.920,-139440.452,324214.372
0.618205,-173845.229,-151160.097,325005.325
0.618333,-162634.560,-162634.560,325269.119
0.618462,-151160.097,-173845.229,325005.325
0.618590,-139440.452,-184773.920,324214.372
0.618718,-127494.634,-195402.907,322897.541
0.618846,-115342.019,-205714.950,321056.970
0.618974,-103002.319,-215693.323,318695.643
0.619103,-90495.549,-225321.840,315817.390
0.619231,-77841.995,-234584.885,312426.880
0.619359,-65062.181,-243467.432,308529.613
0.619487,-52176.836,-251955.074,304131.910
0.619615,-39206.860,-260034.044,299240.903
0.619744,-26173.290,-267691.237,293864.527
0.619872,-13097.267,-274914.235,288011.502
0.620000,-0.000,-281691.320,281691.320
0.620128,13097.267,-288011.502,274914.235
0.620256,26173.290,-293864.527,267691.237
0.620385,39206.860,-299240.903,260034.044
0.620513,52176.836,-304131.910,251955.074
0.620641,65062.181,-308529.613,243467.432
0.620769,77841.995,-312426.880,234584.885
0.620897,90495.549,-315817.390,225321.840
0.621026,103002.319,-318695.643,215693.323
0.621154,115342.019,-321056.970,205714.950
0.621282,127494.634,-322897.541,195402.907
0.621410,139440.452,-324214.372,184773.920
0.621538,151160.097,-325005.325,173845.229
0.621667,162634.560,-325269.119,162634.560
0.621795,173845.229,-325005.325,151160.097
0.621923,184773.920,-324214.372,139440.452
0.622051,195402.907,-322897.541,127494.634
0.622179,205714.950,-321056.970,115342.019
0.622308,215693.323,-318695.643,103002.319
0.622436,225321.840,-315817.390,90495.549
0.622564,234584.885,-312426.880,77841.995
0.622692,243467.432,-308529.613,65062.181
0.622821,251955.074,-304131.910,52176.836
0.622949,260034.044,-299240.903,39206.860
0.623077,267691.237,-293864.527,26173.290
0.623205,274914.235,-288011.502,13097.267
